Categoría	Información
Nombre Completo	Tecnológico de Estudios Superiores de San Felipe del Progreso
Ubicación	Av. Instituto Tecnológico S/N, San Felipe del Progreso, Estado de México
Carreras	Ingeniería Industrial
	Ingeniería en Sistemas Computacionales
	Ingeniería en Gestión Empresarial
	Licenciatura en Administración
	Ingeniería en Energías Renovables
Contacto	Tel: (712) 123-4567
	Email: informes@tessfp.edu.mx
Historia	Fundado en 2000 para brindar educación superior de calidad en la región norte del Estado de México
Misión	Formar profesionistas competentes con educación integral de calidad, comprometidos con el desarrollo sustentable de la región
Visión	Ser una institución líder en educación superior tecnológica, reconocida por la calidad de sus egresados y su impacto en el desarrollo regional
